,WaterState.OFF,WaterState.DRIP,WaterState.FULL
0,0.0029702154,-0.02837819,0.00014884342
1,0.0029927965,-0.029080661,0.0004334824
2,0.0029028405,-0.029847272,0.00016632564
3,0.0027829795,-0.030715043,-0.0013409045
4,0.0027204338,-0.031486962,-0.002683777
5,0.0026292324,-0.032240793,-0.0037907052
6,0.0025857864,-0.032951787,-0.0041853967
7,0.0024832461,-0.033426136,-0.0050180163
8,0.0024784536,-0.033718456,-0.0048994822
9,0.0022779047,-0.034422427,-0.005064182
10,0.0019003019,-0.03530328,-0.0056021013
11,0.001714801,-0.035760265,-0.0031010562
12,0.0016407405,-0.035988152,-0.0021511174
13,0.0015461036,-0.036115818,-0.0020968635
14,0.0012827578,-0.036538005,-0.0018001524
15,0.0010609147,-0.037133835,4.1681025e-05
16,0.001061716,-0.03728959,0.00020238136
17,0.0010918862,-0.03741483,6.0961745e-05
18,0.001181942,-0.03774839,0.0009669955
19,0.0013646515,-0.03792129,5.616198e-05
20,0.0014351673,-0.03808351,0.0019597597
21,0.0013653369,-0.038213782,0.0023326376
22,0.0011193343,-0.038130954,0.00066013716
23,0.001009077,-0.038164735,-0.00052762957
24,0.0010082406,-0.038056497,-0.0013873028
25,0.00095026987,-0.037513446,-0.0015789162
26,0.0009093902,-0.037272472,-0.00014574824
27,0.0008985051,-0.03713185,0.0015094883
28,0.0010530006,-0.036687154,0.0004287705
29,0.0010843191,-0.036532633,0.00010241168
30,0.0011428786,-0.0364407,0.0006678196
31,0.001228531,-0.036209054,9.698904e-05
32,0.0011447219,-0.036034547,0.0012869886
33,0.0010778877,-0.03569816,0.0034785254
34,0.0010368986,-0.035300713,0.0023978963
35,0.000954851,-0.03497574,0.002138717
36,0.00094393024,-0.03444872,0.0015266876
37,0.0010341359,-0.033907484,0.00015408074
38,0.0010287011,-0.033305306,0.000613865
39,0.0010731028,-0.03239914,0.0010812464
40,0.0012006805,-0.03192123,0.002072079
41,0.0013508255,-0.031698808,0.0025125528
42,0.0013929475,-0.030998202,0.00404072
43,0.0013200946,-0.030234948,0.0038955864
44,0.00117194,-0.029830955,0.0022726438
45,0.0010202179,-0.029478136,0.0024423932
46,0.0009108935,-0.029114462,0.0024478969
47,0.00084434944,-0.028900372,0.0033569492
