,WaterState.OFF,WaterState.DRIP,WaterState.FULL
0,0.0,-9.105091e-05,0.08428535
1,0.0,-2.5235333e-05,0.016002575
2,0.0,-2.1665614e-05,-0.056340463
3,0.0,-0.00010084298,-0.047216896
4,0.0,-0.00011514166,0.018766627
5,0.0,-4.625443e-05,0.10936739
6,0.0,-2.623071e-05,0.14739884
7,0.0,-0.00011553997,0.11079115
8,0.0,-8.880398e-05,0.025661547
9,0.0,-1.9559116e-06,-0.073376395
10,0.0,-8.409446e-05,-0.13318512
11,0.0,-0.00018943861,-0.13791303
12,0.0,-0.00028971885,-0.07729802
13,0.0,-0.00036678862,0.0008943493
14,0.0,-0.00030996557,0.05436748
15,0.0,-0.00032844447,0.06923922
16,0.0,-0.00035283258,0.05883126
17,0.0,-0.00029408524,0.049327362
18,0.0,-0.00035435028,0.042519614
19,0.0,-0.00038681846,0.02069795
20,0.0,-0.00028898095,-0.0084096445
21,0.0,-0.00030612628,-0.016182149
22,0.0,-0.00036622057,-0.018767402
23,0.0,-0.00032667114,-0.047747508
24,0.0,-0.0003775162,-0.0671946
25,0.0,-0.00044629406,-0.048735015
26,0.0,-0.00041714375,-0.021156875
27,0.0,-0.00036058144,-0.00042608785
28,0.0,-0.0003408469,-0.004677589
29,0.0,-0.00036240128,-0.005697641
30,0.0,-0.00036412867,-0.0044260863
31,0.0,-0.00038021416,0.0070123905
32,0.0,-0.0003765799,0.029314071
33,0.0,-0.00034484186,0.04032378
34,0.0,-0.00034105417,0.061791293
35,0.0,-0.00036070027,0.07694422
36,0.0,-0.00035015598,0.06095764
37,0.0,-0.0003450851,-0.00062016165
38,0.0,-0.0004097583,-0.051084228
39,0.0,-0.0003841915,-0.07495197
40,0.0,-0.00029931465,-0.07835584
41,0.0,-0.00035755974,-0.062025864
42,0.0,-0.00043442246,-0.06588086
43,0.0,-0.0004040076,-0.0579364
44,0.0,-0.00039136517,-0.022349266
45,0.0,-0.00039781904,0.0239125
46,0.0,-0.00040990196,0.085061274
47,0.0,-0.00046321042,0.15423754
48,0.0,-0.00047090428,0.1727935
49,0.0,-0.00046478855,0.12080038
50,0.0,-0.00044925613,0.04918233
51,0.0,-0.00044465627,-0.0050242217
52,0.0,-0.00045443999,-0.053161144
